"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr2",115936383,116065839,129457,"*",0.21200295723796,"Meis2","chr2-115935651-115937115",3.50894439915484,0.000224944472353974,"Oligo","Nestin",0.00266679747505601
"chr4",122965447,122995652,30206,"*",0.211703424749649,"Mycl","chr4-122965136-122965758",7.73890079876657,5.01399916944321e-15,"Oligo","Nestin",4.76037437812221e-12
"chr5",9725352,9798171,72820,"*",-0.211907354438957,"Grm3","chr5-9797816-9798525",-3.14942867804067,0.000817950171307204,"Oligo","Nestin",0.00572414391996497
"chr7",117267061,117380979,113919,"*",0.265760417146637,"Xylt1","chr7-117266427-117267695",3.98098543961921,3.43150768105548e-05,"Oligo","Nestin",0.000812789334932746
"chr7",134232146,134271540,39395,"*",0.215196643714653,"Adam12","chr7-134270085-134272994",3.66563500971647,0.000123362802741731,"Oligo","Nestin",0.00181841475461511
"chr9",13523277,13619990,96714,"*",0.207043231562958,"Maml2","chr9-13522704-13523850",3.46608190290302,0.000264051190203459,"Oligo","Nestin",0.00296838301979089
"chr9",73899142,73968966,69825,"*",0.216425257671238,"Unc13c","chr9-73899105-73899178",4.00196197176203,3.1409698501006e-05,"Oligo","Nestin",0.000750211100674971
"chr10",127290788,127386399,95612,"*",0.211744744015092,"Gm4189","chr10-127385798-127386999",6.4596899532007,5.24588575309061e-11,"Oligo","Nestin",1.75783459955769e-08
"chr13",36973298,37050244,76947,"*",0.208936418292165,"F13a1","chr13-36972982-36973613",8.88546046094484,3.1828282093143e-19,"Oligo","Nestin",6.04366029811964e-16
"chr16",39834212,39984361,150150,"*",0.221166335029126,"Lsamp","chr16-39833957-39834466",3.22742687051543,0.000624544824028627,"Oligo","Nestin",0.00491737331040646
