"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","celltype","genotype","qvalue"
"chr3",115715055,115801211,86157,"*",0.241846909528847,"S1pr1","chr3-115800374-115802048",4.49602570930685,3.46176843200076e-06,"ENT CTX","Nestin",7.13889707159565e-05
"chr4",86874396,86950319,75924,"*",0.241005719158754,"Acer2","chr4-86949212-86951425",6.13510681923549,4.25509961299244e-10,"ENT CTX","Nestin",5.43234383925368e-08
"chr4",108406961,108496081,89121,"*",0.220126914186136,"Gpx7","chr4-108495513-108496648",7.85592159564392,1.98421633688203e-15,"ENT CTX","Nestin",1.51990971405164e-12
"chr7",141467362,141485105,17744,"*",0.207258244155662,"Cd151","chr7-141484822-141485388",4.5007131383015,3.38629277794016e-06,"ENT CTX","Nestin",7.13889707159565e-05
"chr8",45915838,45999867,84030,"*",0.242133270669084,"Ankrd37","chr8-45915689-45915987",6.69609059784681,1.07034518499567e-11,"ENT CTX","Nestin",1.63976882341337e-09
"chr11",49002875,49051242,48368,"*",0.208217412984677,"9930111J21Rik2","chr11-49001736-49004014",3.97991340596134,3.44701878728544e-05,"ENT CTX","Nestin",0.00026943024398578
"chr15",99651656,99735601,83946,"*",0.20086443412505,"Racgap1","chr15-99735525-99735676",5.09631994894239,1.73159815345735e-07,"ENT CTX","Nestin",8.29002615967706e-06
"chr16",17838364,17872201,33838,"*",0.213011621477491,"Car15","chr16-17872038-17872364",4.3849158108455,5.80153223823381e-06,"ENT CTX","Nestin",8.81280145719239e-05
"chr16",95906037,95929077,23041,"*",0.235769442907709,"1600002D24Rik","chr16-95905791-95906282",7.2973996888601,1.46691151293505e-13,"ENT CTX","Nestin",5.58932661478922e-11
"chr17",15527301,15577380,50080,"*",0.225000776778956,"Pdcd2","chr17-15577093-15577666",5.74297949274405,4.6512498314728e-09,"ENT CTX","Nestin",4.45357171363521e-07
"chr19",5704553,5729653,25101,"*",0.214466457249644,"Fam89b","chr19-5703906-5705199",7.24332803425461,2.18903131127515e-13,"ENT CTX","Nestin",5.58932661478922e-11
"chr19",12465632,12545740,80109,"*",0.202349431505041,"Fam111a","chr19-12464303-12466960",4.34860229038173,6.85039562296548e-06,"ENT CTX","Nestin",9.29157524193684e-05
"chr19",12798606,12826988,28383,"*",0.20172644782102,"Lpxn","chr19-12826853-12827123",5.61892830210612,9.60727829844499e-09,"ENT CTX","Nestin",8.04178725780491e-07
